number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conv_filter_0,params_conv_filter_1,params_conv_filter_2,params_conv_kernel_0,params_conv_kernel_1,params_conv_kernel_2,params_epochs,params_latent_space,params_num_conv_layers,params_optimizer,params_pool_size_0,params_pool_size_1,params_pool_size_2,state
0,0.020910663530230522,2024-01-08 16:48:55.160622,2024-01-08 16:49:32.786396,0 days 00:00:37.625774,128,32,,,1,,,13,30,1,adam,2,,,COMPLETE
1,inf,2024-01-08 16:49:32.787921,2024-01-08 16:49:34.375972,0 days 00:00:01.588051,128,128,8.0,16.0,3,1.0,2.0,13,20,3,rmsprop,4,1.0,4.0,COMPLETE
2,0.016363468021154404,2024-01-08 16:49:34.377602,2024-01-08 16:50:59.697494,0 days 00:01:25.319892,32,32,,,2,,,12,10,1,adam,2,,,COMPLETE
3,inf,2024-01-08 16:50:59.698877,2024-01-08 16:51:01.273003,0 days 00:00:01.574126,32,64,8.0,128.0,2,3.0,2.0,15,20,3,adagrad,3,4.0,2.0,COMPLETE
4,inf,2024-01-08 16:51:01.274672,2024-01-08 16:51:02.829506,0 days 00:00:01.554834,32,128,64.0,32.0,1,2.0,1.0,5,30,3,nadam,3,3.0,3.0,COMPLETE
5,inf,2024-01-08 16:51:02.831002,2024-01-08 16:51:04.384598,0 days 00:00:01.553596,64,64,64.0,128.0,1,1.0,1.0,13,10,3,adadelta,3,3.0,4.0,COMPLETE
6,0.007799588143825531,2024-01-08 16:51:04.386243,2024-01-08 16:54:31.183050,0 days 00:03:26.796807,256,128,,,3,,,14,30,1,adamax,1,,,COMPLETE
7,inf,2024-01-08 16:54:31.184914,2024-01-08 16:54:32.745814,0 days 00:00:01.560900,32,32,64.0,32.0,3,1.0,3.0,13,30,3,adam,2,3.0,4.0,COMPLETE
8,inf,2024-01-08 16:54:32.747440,2024-01-08 16:54:34.280443,0 days 00:00:01.533003,256,16,128.0,,3,1.0,,15,20,2,adam,4,3.0,,COMPLETE
9,inf,2024-01-08 16:54:34.281911,2024-01-08 16:54:35.758990,0 days 00:00:01.477079,256,32,16.0,,3,1.0,,7,10,2,adadelta,1,3.0,,COMPLETE
10,0.00567588210105896,2024-01-08 16:54:35.760583,2024-01-08 16:57:01.238473,0 days 00:02:25.477890,16,8,,,3,,,9,30,1,adamax,1,,,COMPLETE
11,0.005676177330315113,2024-01-08 16:57:01.240294,2024-01-08 16:59:03.885985,0 days 00:02:02.645691,16,8,,,3,,,9,30,1,adamax,1,,,COMPLETE
12,0.005646807141602039,2024-01-08 16:59:03.887345,2024-01-08 17:01:07.239244,0 days 00:02:03.351899,16,8,,,3,,,9,30,1,adamax,1,,,COMPLETE
13,0.004598305560648441,2024-01-08 17:01:07.240747,2024-01-08 17:04:07.056193,0 days 00:02:59.815446,16,8,32.0,,3,2.0,,10,30,2,adamax,1,2.0,,COMPLETE
14,0.012738140299916267,2024-01-08 17:04:07.057639,2024-01-08 17:06:56.977510,0 days 00:02:49.919871,16,8,32.0,,3,2.0,,10,30,2,sgd,1,2.0,,COMPLETE
15,0.005139634478837252,2024-01-08 17:06:56.979028,2024-01-08 17:09:04.083217,0 days 00:02:07.104189,16,8,32.0,,2,2.0,,7,30,2,adamax,1,2.0,,COMPLETE
16,0.005167772993445396,2024-01-08 17:09:04.084631,2024-01-08 17:11:12.114902,0 days 00:02:08.030271,16,8,32.0,,2,2.0,,7,30,2,adamax,1,2.0,,COMPLETE
17,0.024239493533968925,2024-01-08 17:11:12.116407,2024-01-08 17:11:53.019088,0 days 00:00:40.902681,64,16,32.0,,2,2.0,,7,30,2,sgd,1,2.0,,COMPLETE
18,inf,2024-01-08 17:11:53.020913,2024-01-08 17:11:54.526284,0 days 00:00:01.505371,16,8,32.0,,2,2.0,,5,10,2,rmsprop,4,2.0,,COMPLETE
19,0.02060089446604252,2024-01-08 17:11:54.528021,2024-01-08 17:15:03.525797,0 days 00:03:08.997776,16,8,32.0,,2,3.0,,11,20,2,adagrad,1,2.0,,COMPLETE
20,0.014974037185311317,2024-01-08 17:15:03.527393,2024-01-08 17:18:10.885667,0 days 00:03:07.358274,16,8,16.0,,2,2.0,,8,30,2,nadam,1,4.0,,COMPLETE
21,0.0052323960699141026,2024-01-08 17:18:10.887247,2024-01-08 17:20:00.998951,0 days 00:01:50.111704,16,8,32.0,,2,2.0,,6,30,2,adamax,1,2.0,,COMPLETE
22,0.005135998595505953,2024-01-08 17:20:01.000415,2024-01-08 17:22:06.846406,0 days 00:02:05.845991,16,8,32.0,,2,2.0,,7,30,2,adamax,1,2.0,,COMPLETE
23,0.005006944760680199,2024-01-08 17:22:06.847895,2024-01-08 17:24:32.484649,0 days 00:02:25.636754,16,8,32.0,,2,2.0,,8,30,2,adamax,1,2.0,,COMPLETE
24,0.003954872954636812,2024-01-08 17:24:32.486123,2024-01-08 17:29:12.713481,0 days 00:04:40.227358,16,8,128.0,,2,2.0,,10,30,2,adamax,1,1.0,,COMPLETE
25,0.0045189992524683475,2024-01-08 17:29:12.715019,2024-01-08 17:32:48.585190,0 days 00:03:35.870171,64,16,128.0,,1,2.0,,11,30,2,adamax,1,1.0,,COMPLETE
26,0.023829316720366478,2024-01-08 17:32:48.586736,2024-01-08 17:34:14.536675,0 days 00:01:25.949939,64,16,128.0,,1,3.0,,11,30,2,adamax,4,1.0,,COMPLETE
27,inf,2024-01-08 17:34:14.538360,2024-01-08 17:34:16.129269,0 days 00:00:01.590909,64,16,128.0,64.0,1,2.0,3.0,11,30,3,adamax,3,1.0,1.0,COMPLETE
28,0.03098136931657791,2024-01-08 17:34:16.130999,2024-01-08 17:35:31.917594,0 days 00:01:15.786595,64,16,128.0,,1,2.0,,10,20,2,adadelta,2,1.0,,COMPLETE
29,0.03503915295004845,2024-01-08 17:35:31.919316,2024-01-08 17:36:18.083278,0 days 00:00:46.163962,128,64,,,1,,,12,10,1,adagrad,2,,,COMPLETE
30,0.00489179277792573,2024-01-08 17:36:18.084667,2024-01-08 17:40:00.917791,0 days 00:03:42.833124,128,16,128.0,,1,2.0,,12,30,2,rmsprop,1,1.0,,COMPLETE
31,0.005206770729273558,2024-01-08 17:40:00.919293,2024-01-08 17:44:27.095255,0 days 00:04:26.175962,128,16,128.0,,1,2.0,,12,30,2,rmsprop,1,1.0,,COMPLETE
32,0.0050520324148237705,2024-01-08 17:44:27.096697,2024-01-08 17:47:33.040271,0 days 00:03:05.943574,128,16,128.0,,1,2.0,,10,30,2,rmsprop,1,1.0,,COMPLETE
33,0.005289082881063223,2024-01-08 17:47:33.041861,2024-01-08 17:50:57.246227,0 days 00:03:24.204366,128,16,128.0,,1,2.0,,11,30,2,rmsprop,1,1.0,,COMPLETE
34,inf,2024-01-08 17:50:57.247845,2024-01-08 17:50:59.510736,0 days 00:00:02.262891,128,128,128.0,8.0,1,2.0,1.0,12,30,3,rmsprop,1,1.0,3.0,COMPLETE
35,0.03544994071125984,2024-01-08 17:50:59.512388,2024-01-08 17:52:20.727324,0 days 00:01:21.214936,64,16,128.0,,1,2.0,,10,20,2,nadam,4,1.0,,COMPLETE
36,inf,2024-01-08 17:52:20.729225,2024-01-08 17:52:22.337393,0 days 00:00:01.608168,128,64,128.0,64.0,1,3.0,2.0,14,30,3,sgd,3,1.0,1.0,COMPLETE
37,0.027708521112799644,2024-01-08 17:52:22.339044,2024-01-08 17:53:47.373117,0 days 00:01:25.034073,32,32,,,1,,,12,10,1,adamax,2,,,COMPLETE
38,0.004831237718462944,2024-01-08 17:53:47.374688,2024-01-08 17:56:21.515305,0 days 00:02:34.140617,64,128,8.0,,3,2.0,,11,30,2,adam,1,1.0,,COMPLETE
39,inf,2024-01-08 17:56:21.517023,2024-01-08 17:56:23.224814,0 days 00:00:01.707791,64,128,8.0,16.0,3,2.0,3.0,9,30,3,adam,3,4.0,2.0,COMPLETE
40,0.007104526739567518,2024-01-08 17:56:23.226570,2024-01-08 17:58:49.457854,0 days 00:02:26.231284,64,128,8.0,,3,3.0,,11,20,2,adam,1,1.0,,COMPLETE
41,0.004832329694181681,2024-01-08 17:58:49.459679,2024-01-08 18:01:48.982711,0 days 00:02:59.523032,64,128,8.0,,3,2.0,,13,30,2,adam,1,1.0,,COMPLETE
42,0.004588843323290348,2024-01-08 18:01:48.984287,2024-01-08 18:05:01.344916,0 days 00:03:12.360629,64,128,8.0,,3,2.0,,14,30,2,adam,1,1.0,,COMPLETE
43,0.004654300399124622,2024-01-08 18:05:01.348783,2024-01-08 18:08:14.421697,0 days 00:03:13.072914,64,128,8.0,,3,2.0,,14,30,2,adam,1,1.0,,COMPLETE
44,0.005820868536829948,2024-01-08 18:08:14.423436,2024-01-08 18:11:07.257130,0 days 00:02:52.833694,256,128,8.0,,3,2.0,,14,30,2,adam,1,1.0,,COMPLETE
45,0.014969692565500736,2024-01-08 18:11:07.258863,2024-01-08 18:13:36.761459,0 days 00:02:29.502596,64,128,8.0,,3,1.0,,15,30,2,adam,1,4.0,,COMPLETE
46,0.0323784276843071,2024-01-08 18:13:36.762925,2024-01-08 18:16:22.772993,0 days 00:02:46.010068,64,32,64.0,,3,2.0,,13,10,2,adadelta,1,1.0,,COMPLETE
47,0.012375978752970695,2024-01-08 18:16:22.774545,2024-01-08 18:18:16.178368,0 days 00:01:53.403823,32,128,,,3,,,14,30,1,adam,4,,,COMPLETE
48,inf,2024-01-08 18:18:16.180038,2024-01-08 18:18:17.673363,0 days 00:00:01.493325,256,64,8.0,,3,1.0,,15,30,2,adamax,2,3.0,,COMPLETE
49,0.021277545019984245,2024-01-08 18:18:17.675217,2024-01-08 18:21:49.027597,0 days 00:03:31.352380,64,128,16.0,,3,2.0,,14,30,2,adagrad,1,1.0,,COMPLETE
